"","Alabama","Alaska","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","District of Columbia","Florida","Georgia","Hawaii","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West Virginia","Wisconsin","Wyoming","National"
"2011|10",245,62,753,306,2899,429,166,42,60,1443,551,95,92,415,625,397,311,509,292,83,253,426,600,494,235,480,72,303,257,41,419,153,922,395,83,866,446,414,924,97,261,106,613,1460,205,54,219,512,296,456,64,21901
"2011|11",191,67,727,295,2269,379,128,30,44,1240,478,98,98,357,545,351,263,389,285,59,212,398,473,482,146,478,109,273,208,49,418,144,925,336,67,802,420,415,833,112,251,98,599,1229,172,59,194,390,271,383,64,19303
"2011|12",181,70,728,243,2157,422,117,36,38,1239,471,91,91,409,542,353,258,401,268,54,202,369,581,417,175,472,97,272,222,50,416,140,898,355,73,709,364,336,784,78,167,105,502,1022,166,42,202,349,306,352,74,18466
"2012|01",244,64,855,369,2552,362,130,45,52,1323,547,105,96,402,662,325,304,394,299,76,206,453,578,516,207,499,92,306,249,29,442,147,866,433,82,791,397,330,879,121,247,70,646,1326,176,37,190,411,277,386,87,20682
"2012|02",215,83,847,328,2780,389,131,58,54,1421,534,96,112,426,684,360,338,447,256,71,238,430,647,536,213,485,99,254,260,39,447,158,874,449,72,767,452,357,1026,101,271,92,652,1387,176,51,233,467,289,361,78,21591
"2012|03",244,78,871,345,2889,447,143,49,43,1431,535,80,108,436,766,384,285,489,225,82,217,469,650,563,233,583,122,266,272,69,471,139,1001,463,79,889,521,418,987,129,272,134,628,1472,218,70,290,501,345,392,65,22858
"2012|04",233,87,848,350,2791,439,136,36,40,1379,484,112,107,420,693,372,347,531,230,69,229,481,627,554,247,630,130,222,260,53,440,178,957,420,66,801,528,366,805,91,235,123,611,1349,201,55,262,441,305,329,62,21762
"2012|05",227,85,911,366,2912,432,132,38,34,1423,479,98,90,406,662,396,356,569,270,81,247,500,654,593,203,523,93,224,299,65,500,132,938,429,74,872,514,366,846,114,253,96,624,1440,170,68,251,507,297,368,87,22314
"2012|06",202,69,977,275,2677,404,124,41,31,1143,472,62,91,323,635,353,279,418,213,89,199,464,603,500,166,507,136,185,284,50,428,121,900,409,52,777,470,344,850,100,182,74,522,1318,215,51,233,468,309,377,77,20249
"2012|07",264,62,901,333,2736,444,146,43,22,1320,528,64,68,350,607,374,313,492,298,98,226,519,649,547,177,501,127,187,221,54,409,129,863,411,60,804,427,331,909,113,213,119,580,1325,235,46,246,436,252,369,85,21033
"2012|08",280,103,987,366,2790,447,166,35,27,1283,637,74,85,449,688,414,364,603,310,73,220,467,693,498,246,514,125,245,320,60,479,136,900,464,70,910,515,347,991,124,211,91,650,1379,159,44,204,456,313,426,102,22540
"2012|09",253,87,947,326,2976,486,162,36,31,1240,613,85,76,426,713,374,311,541,250,61,203,461,604,512,183,607,125,177,289,60,514,187,821,458,90,843,472,326,955,108,268,100,634,1326,173,51,220,487,325,398,116,22087
"2012|10",256,87,889,321,2865,442,171,34,26,1242,569,100,75,409,696,369,376,417,321,80,204,437,645,582,187,538,123,240,304,48,469,156,775,439,89,805,443,370,910,125,291,92,650,1445,211,58,214,499,307,358,74,21833
"2012|11",226,83,869,310,2684,353,118,24,36,1073,456,91,117,388,557,397,320,390,219,68,166,355,562,521,186,524,122,219,263,49,411,130,724,427,71,786,443,332,756,90,229,87,573,1222,180,63,191,441,242,339,70,19553
"2012|12",202,64,690,267,2404,376,118,25,22,1116,381,64,98,318,605,324,317,397,244,75,162,375,555,436,145,453,124,195,303,34,450,104,718,420,73,786,434,288,764,91,167,81,501,1069,166,39,207,427,234,344,89,18341
"2013|01",239,75,814,299,2677,386,140,41,43,1218,464,98,99,383,663,416,323,439,296,78,193,369,623,482,185,482,136,216,277,50,441,120,820,451,49,794,499,329,806,94,222,95,554,1138,159,66,195,455,251,372,97,20211
"2013|02",261,68,724,303,2586,348,139,28,21,1124,494,97,100,369,608,330,274,412,294,75,171,406,627,510,203,520,129,199,271,58,393,183,809,443,65,794,496,303,778,84,223,82,618,1270,186,59,233,472,302,360,89,19991
"2013|03",290,78,926,338,3049,427,146,41,40,1244,572,93,93,478,703,413,328,576,355,90,203,497,787,542,209,547,130,240,325,60,464,203,780,476,102,837,598,341,940,120,299,70,790,1391,179,54,217,562,367,436,81,23127
"2013|04",283,85,906,377,2885,365,147,40,51,1191,523,109,101,444,707,415,395,470,286,74,236,511,678,571,222,550,131,240,305,55,481,150,815,482,84,830,593,292,868,106,265,87,690,1424,199,58,257,460,304,425,78,22301
"2013|05",288,88,879,337,3155,423,183,28,37,1121,545,86,106,450,719,444,424,495,327,87,225,527,772,562,216,593,106,257,280,49,516,143,888,559,89,893,421,285,869,100,267,70,744,1578,243,71,238,553,316,452,111,23215
"2013|06",234,100,776,301,2803,404,186,23,33,1101,459,58,97,354,631,331,299,457,242,72,186,472,633,554,233,479,93,218,227,47,437,173,800,404,51,878,446,323,844,134,188,94,637,1383,190,69,220,502,275,377,74,20602
"2013|07",251,87,970,325,2865,419,157,29,30,1228,446,64,119,392,657,376,291,474,266,92,210,489,683,505,220,592,89,203,276,60,424,164,741,499,88,858,533,341,903,105,224,69,870,1420,166,50,217,475,305,423,76,21816
"2013|08",322,88,1019,370,3095,440,161,37,33,1463,554,78,126,466,783,369,334,553,361,70,195,531,706,524,268,640,132,238,284,56,498,176,727,534,111,891,570,351,943,124,306,53,802,1370,190,46,240,509,305,433,90,23565
"2013|09",292,128,972,325,3094,404,164,31,31,1328,582,108,95,472,716,387,315,573,346,91,205,548,732,509,263,555,145,256,274,56,484,179,811,566,91,939,631,297,918,114,326,57,614,1413,179,64,230,482,318,410,98,23218
"2013|10",269,88,940,292,3053,375,180,25,33,1408,539,91,101,393,701,383,375,559,322,85,218,533,669,545,311,600,130,202,282,49,439,172,866,580,86,964,530,306,989,138,329,63,616,1424,199,70,276,504,381,396,81,23160
"2013|11",242,59,866,261,2638,363,171,17,27,1211,579,74,94,396,686,372,281,458,307,75,149,470,605,495,244,588,84,216,283,34,426,156,805,580,107,804,459,275,891,143,268,67,611,1244,193,46,299,493,290,392,69,20963
"2013|12",197,83,781,246,2382,323,165,18,23,1131,512,63,82,374,557,307,233,393,294,66,139,510,540,490,224,463,126,187,180,31,383,119,668,534,98,638,466,236,799,96,228,70,475,1079,153,69,230,467,284,355,85,18652
"2014|01",258,74,991,305,2591,339,135,18,20,1270,560,66,86,392,674,316,285,451,345,87,184,670,573,516,237,478,123,179,267,54,420,157,718,435,67,742,534,285,879,88,232,74,476,1190,201,58,223,547,301,400,88,20659
"2014|02",247,77,938,294,2738,360,161,28,33,1111,591,97,94,405,702,291,324,525,334,54,161,522,638,478,259,494,150,191,227,31,414,218,826,502,85,782,462,274,911,87,276,80,623,1286,186,51,242,492,313,378,89,21132
"2014|03",306,65,1006,377,3014,431,197,30,36,1443,776,98,91,487,904,341,355,536,339,75,203,617,777,660,254,686,135,201,323,55,506,244,903,610,68,897,509,333,1138,130,325,113,784,1496,207,78,321,591,415,455,105,25046
"2014|04",283,90,1083,363,2824,412,137,39,46,1531,605,107,111,396,770,307,388,493,352,47,195,599,842,542,303,698,100,210,325,52,424,176,834,607,79,820,543,305,939,116,261,98,703,1477,213,68,261,506,353,404,89,23526
