"","Alabama","Alaska","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","District of Columbia","Florida","Georgia","Hawaii","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West Virginia","Wisconsin","Wyoming","Statewide"
"2012|04",30531,29988,131456,45821,611775,31355,37866,5522,14813,290418,45567,16125,13310,217018,152028,81817,75871,16360,44768,17483,60554,89627,191713,53239,43430,131788,24263,65942,67683,3979,69518,20539,245710,72842,7470,84579,111692,134784,120713,14605,16881,12278,67093,327169,27736,7831,21599,134755,37384,74733,7604,4259625
"2012|05",31294,31244,138657,46394,637088,31131,38883,5336,15391,297640,46292,16810,13698,221084,157842,83430,78501,16044,45565,18230,61577,91245,193593,55332,44839,134240,25174,67363,69479,4238,72294,20910,250579,70904,7353,85821,118288,139799,122600,15050,16665,12815,66882,333818,28750,8208,21820,138442,38429,76649,7914,4371624
"2012|06",30697,30649,138172,44131,622249,29776,37381,4784,14750,284860,44508,16314,13151,211497,153938,80460,76206,14888,44686,17783,59606,88350,186379,55041,43779,129796,24735,65391,67017,4279,70690,20282,238702,67835,7145,81921,118485,134720,118886,14707,14863,12561,67937,326739,28868,8091,21372,133999,36781,73636,7519,4240992
"2012|07",32400,30976,147325,44805,648829,30994,38591,4947,14818,294037,46114,16711,13668,216628,163276,82438,77585,15342,45804,19372,61361,94378,193260,59240,44836,137557,27361,67160,69937,4642,73611,21060,246225,70828,7050,85291,125943,139409,123292,15196,14773,13001,72274,341090,31764,8822,22488,138805,37860,75769,7691,4416634
"2012|08",33333,31625,152949,44965,650956,32117,38821,5195,14526,293659,45533,16654,13374,216763,168762,85833,81028,15527,47525,19644,63426,98899,194709,60862,46067,144618,28268,68462,71469,4690,74689,21632,246856,73268,7559,86903,130535,139444,125100,15453,15328,13909,76162,347992,32736,9727,23514,140397,38858,75879,7993,4494193
"2012|09",31223,31643,155461,43108,630045,31915,37273,4868,13596,286181,44122,15895,12952,212269,166930,86078,78689,14862,46252,18792,63581,99214,191042,60469,44994,145002,28451,65455,71543,5108,73161,21147,237835,75114,7878,85300,127372,133479,123695,14912,15231,13543,74271,341511,31577,9656,23464,137556,38594,73730,8305,4404344
"2012|10",30655,32636,165266,43701,652332,32565,37881,4901,14348,296799,44901,16024,13381,218289,173828,88273,80907,14779,47613,19478,65530,102504,194575,61040,45832,149505,30039,65323,73943,5688,75472,21890,241442,77569,8057,87038,133070,137966,128937,15844,16106,13479,74421,347868,32317,10095,23512,140638,39716,75952,8649,4532574
"2012|11",29130,30510,158794,42474,629284,31419,35757,4342,13997,282357,42123,15712,12826,209391,166126,84647,77707,13899,46268,19097,61443,97593,183702,58832,43359,140182,29021,61588,70288,5409,72901,21058,228357,73850,7207,84054,130176,133400,125273,15368,15577,12872,67564,325054,30714,9734,22200,134656,37668,72552,8228,4325740
"2012|12",28539,30467,163911,42174,644743,32340,36947,4020,13931,285067,42402,15995,13161,215173,170818,86430,78436,13329,47661,19983,60810,97866,186198,60382,44794,140722,30045,62489,72013,5594,74425,22099,228461,75008,7341,85331,133846,136882,127651,15814,15593,13256,68684,325084,30033,9556,22217,138771,38763,74050,8756,4398061
"2013|01",27595,30240,164872,40993,644566,33003,36380,3811,13916,284418,43471,15650,12868,214942,171826,86536,79210,13263,47939,20706,59738,94852,185315,59672,45334,142155,31367,63907,71778,5734,75299,22470,224874,75851,7477,84939,134532,135238,126761,15972,15133,13212,69391,325755,29105,9195,21891,137886,37629,73382,8942,4390991
"2013|02",24773,27869,151309,36034,582231,29497,32963,3526,12920,257119,39725,14349,12102,195021,156625,77589,71921,12026,44820,19055,54090,84780,166954,54827,40276,128610,29774,57591,65920,5332,68870,20523,201749,68777,6577,77349,123146,121558,113472,14195,13426,11786,63905,296703,27530,8394,19184,125496,33310,66299,8348,3980225
"2013|03",27806,32089,169541,38772,645800,32984,37866,3977,14410,283451,44617,16370,13748,219820,177620,87314,82112,13703,50797,21769,59436,94036,186063,62861,44970,144964,33917,62426,75426,6357,76504,22989,221871,78320,7973,86828,139789,131869,125022,15840,14831,13800,75092,331077,31905,9729,20872,142556,38194,74539,9111,4453733
"2013|04",27410,31352,167624,37925,625098,31706,36581,4246,13841,271307,42537,16114,13240,212791,174213,85013,80310,14165,49821,21110,57164,91236,178874,61907,42705,138821,33499,59966,74415,6648,73067,22247,210950,76075,8421,82952,138981,125941,120767,15281,14247,13394,71666,320213,33167,9591,20264,140045,37192,72305,8693,4317098
"2013|05",27994,31496,175604,39878,645422,33173,37529,4463,14205,274978,42014,17101,13425,217072,179765,88030,82920,15411,52196,22085,59017,91960,181660,64475,42565,139954,34548,61469,75450,7447,75418,22322,213865,77466,8712,84261,147351,127182,125615,15938,14619,13417,71793,326674,34301,10171,21196,144123,37269,75838,9254,4430091
"2013|06",27836,30548,170909,39017,631203,33454,37015,4350,13473,257096,41133,16498,12854,209827,174667,87296,81001,14943,50084,21968,56769,88191,174602,62958,41016,133980,33538,59255,72411,7737,73418,21441,204261,77517,8730,82756,145826,120410,123414,15871,13804,12949,71039,318439,33103,10026,20112,139801,35630,74523,9278,4297977
