"","Alabama","Alaska","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","District of Columbia","Florida","Georgia","Hawaii","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West Virginia","Wisconsin","Wyoming","Statewide"
"2016|03",55902,20500,175454,37896,790438,68356,42338,11688,15970,204995,135540,18985,6926,133056,94834,33684,43140,56749,30985,10710,48409,109299,94649,70072,37911,61414,20315,28912,39278,6195,100043,36956,253786,171449,17892,143635,99798,42632,180087,17227,49310,19318,115510,339710,17223,2280,65808,83088,16294,70639,4866,4352151
"2016|04",54850,19782,170790,36793,764312,66859,41863,11398,15596,199653,132607,19047,6623,126461,93049,32566,42136,55734,30251,10422,45197,108852,92146,68383,36881,61574,19301,27888,37372,6009,95605,36569,244308,167911,17386,139938,97503,41251,174636,16790,48066,19824,113162,329931,16686,2230,63799,80809,16860,68468,4555,4230682
"2016|05",56281,20048,172907,36393,773328,67478,43106,11797,16071,202135,136669,19601,6902,130490,95791,32518,43141,57216,31420,10601,45972,109501,93951,68588,37643,62014,19455,28380,37738,5964,97919,37324,247172,172006,17822,141643,97805,41427,176851,16879,48900,20292,114663,334182,16859,2166,65354,82737,17702,70032,4601,4297435
"2016|06",54193,19006,162890,33630,735542,63222,41188,11264,15421,191859,130048,19190,6305,126294,92407,29913,40136,54152,30482,9896,44444,104769,89722,64855,35935,59004,18684,26775,35620,5571,93328,35236,235950,165239,17029,133322,92091,39513,166553,16310,45822,18986,107788,316535,15947,1961,61778,80267,16775,66695,4406,4083948
"2016|07",55487,19448,166970,34087,752818,63724,41996,11244,15924,195987,132675,20472,6147,131139,95524,30119,40609,55531,31327,9973,45586,106826,92313,65953,37046,60770,19010,27282,35885,5594,94629,36154,239250,171025,17719,136880,93759,40693,169428,16211,46666,19456,111081,323759,16278,2069,62673,82089,17132,68562,4334,4177313
"2016|08",55104,19566,166731,34277,758825,62796,41790,10969,15795,197751,132033,20862,6093,131278,95763,30078,40553,55355,31754,9900,45832,106674,91946,67475,38314,61030,19177,27184,35932,5706,94795,36331,237545,174485,17827,139913,94191,40922,168558,15952,47275,19440,113027,325889,16077,2102,62541,82475,16832,68895,4303,4195918
"2016|09",55025,19871,163388,34747,751426,62385,41126,11315,15659,197720,129632,20740,5798,127925,95976,29478,40996,54685,32302,9703,44788,105673,90541,68235,38483,61023,19801,27289,36537,5472,92811,36849,232772,180417,17704,140844,93895,40258,164133,15616,48629,19373,114977,325728,16264,2355,61312,81024,17065,68498,4049,4172312
"2016|10",57151,20597,168213,36723,776996,65085,42956,12011,16326,208033,134095,21288,6062,133358,99192,30632,43397,56643,34028,9797,44939,111659,94228,72031,40084,64273,20894,28734,37967,5781,94475,38466,245502,183313,18681,149260,97578,42059,169859,16574,51424,20497,115958,339099,17594,2488,63124,83955,18307,71727,4258,4337371
"2016|11",54335,19453,157886,33988,737594,61180,41327,11787,15755,197444,128338,19825,5772,128909,93681,28757,41301,53741,32494,9191,42634,105949,90841,68890,38956,61367,19595,27018,35544,5560,89485,36638,235571,159723,18036,143444,92317,39883,161598,15707,49344,20039,100796,318089,16989,2439,59633,79738,17605,69520,4064,4099770
"2016|12",55258,20318,158674,34519,747972,62086,42175,11979,15831,200100,130938,19942,6225,133219,96047,28913,42920,53968,32951,9196,43375,108429,94548,70303,40367,62938,20027,26920,35772,5779,90028,37306,242232,146387,18475,147753,92529,40591,163966,16189,49238,21087,92565,322493,17155,2605,60476,80632,17070,71478,4009,4145953
